"species","maxLat","minLat","EA_0.25_cells"
"Chamaecyparis_pisifera",36.8075,33.099,12
"Chamaecyparis_thyoides",44.4825,30.2252,68
"Cryptomeria_japonica",38.12,27.25,10
"Cunninghamia_konishii",25.073,20.39,7
"Cunninghamia_lanceolata",30.666668,24.2,17
"Cupressus_atlantica",31.090424,30.95,4
"Cupressus_austrotibetica",30.028889,30.028889,1
"Cupressus_cashmeriana",27.833332,27.38,6
"Cupressus_chengiana",33.87116667,30.13066667,19
"Cupressus_duclouxiana",29.737,24.7167,18
"Cupressus_dupreziana",31.075,24.65,4
"Cupressus_funebris",33.3405,24.989,22
"Cupressus_gigantea",29.4,28.98,3
"Cupressus_sempervirens",41.033333,30.835,15
"Cupressus_torulosa",31.1,28.63,13
"Dacrycarpus_cinctus",4.05,-10.03,24
"Dacrycarpus_compactus",-4.07,-9.66667,23
"Dacrycarpus_cumingii",16.7,2.257,5
"Dacrycarpus_dacrydioides",-35.25,-46.7071,51
"Dacrycarpus_expansus",-5.48,-6.28167,6
"Dacrycarpus_imbricatus",24.1,-20.18,104
"Dacrycarpus_kinabaluensis",6.094,6.08,1
"Dacrycarpus_vieillardii",-20.8112,-22.3243,14
"Dacrydium_araucarioides",-21.3394,-22.3243,12
"Dacrydium_balansae",-20.733,-22.27,16
"Dacrydium_beccarii",13.27,-10.08,19
"Dacrydium_comosum",3.72,3.42,2
"Dacrydium_cupressinum",-35.3849,-47.1033,69
"Dacrydium_elatum",22.27,-0.25,25
"Dacrydium_gibbsiae",6.15,6.036,1
"Dacrydium_gracile",6.01,4.298,3
"Dacrydium_guillauminii",-22.18,-22.2729,2
"Dacrydium_lycopodioides",-21.611,-22.07,5
"Dacrydium_magnum",-1.554,-11.52,5
"Dacrydium_nausoriense",-16.47,-17.8,3
"Dacrydium_nidulum",-0.833333,-19,28
"Dacrydium_xanthandrum",5.98,-9.638,10
"Diselma_archeri",-41.5167,-43.5,23
"Falcatifolium_falciforme",6.05,1.295,13
"Falcatifolium_papuanum",-5.3683,-8.58333,8
"Falcatifolium_taxoides",-20.4,-22.171389,11
"Fitzroya_cupressoides",-40.166668,-42.83,15
"Fokienia_hodginsii",26.63,11.9,21
"Glyptostrobus_pensilis",26.15,12.94,6
"Halocarpus_bidwillii",-37.6205,-46.8935,36
"Halocarpus_biformis",-37.4994,-47.0675,47
"Halocarpus_kirkii",-35.63,-37.0702,5
"Hesperocyparis_abramsiana",37.14821,37.04167,1
"Hesperocyparis_arizonica",37.2785,19.4383,60
"Hesperocyparis_bakeri",42.75,40.0108,10
"Hesperocyparis_forbesii",35.30521,30.383333,13
"Hesperocyparis_glabra",44.041581,-42.6892,9
"Hesperocyparis_goveniana",39.48,36.2393,10
"Hesperocyparis_guadalupensis",32.583,29.08,8
"Hesperocyparis_lusitanica",28.4292,8.75,80
"Hesperocyparis_macnabiana",40.76,36.2393,17
"Hesperocyparis_macrocarpa",39,36.20067,6
"Hesperocyparis_montana",31.083333,31.083333,1
"Hesperocyparis_nevadensis",35.82642,34.285201,6
"Hesperocyparis_sargentii",39.9287,34.75,26
"Hesperocyparis_stephensonii",34.249916,32.90261,5
"Juniperus_angosturana",28.793,20.618,25
"Juniperus_ashei",36.7403,25.4533,81
"Juniperus_barbadensis",25.08,13.8347,18
"Juniperus_blancoi",28.45,19.468,8
"Juniperus_californica",36.56,25.3283,26
"Juniperus_chinensis",37.48,24.05,22
"Juniperus_coahuilensis",30.7333,25.075,5
"Juniperus_comitana",20.616667,15.44,5
"Juniperus_communis",69.28004,33.8107,384
"Juniperus_convallium",32.577,28.576668,18
"Juniperus_deppeana",35.1981,17.57,82
"Juniperus_drupacea",37.692944,34.15,10
"Juniperus_durangensis",28.9967,21.617,20
"Juniperus_excelsa",41.8533,23.07,98
"Juniperus_flaccida",29.276,16.285,52
