"sp","d.tpos","d.tneg","d.fpos","d.fneg","global.count"
"Cupressus_cashmeriana",19,26,0,0,6232
"Cupressus_chengiana",19,35,0,1,17629
"Cupressus_duclouxiana",25,36,1,0,36973
"Cupressus_dupreziana",7,17,0,0,2771
"Cupressus_funebris",24,32,1,0,17347
"Cupressus_gigantea",5,18,0,0,120
"Cupressus_sempervirens",15,17,0,1,27055
"Cupressus_torulosa",18,20,0,0,6159
"Dacrycarpus_cinctus",46,47,2,0,2101
"Dacrycarpus_compactus",34,36,0,0,1361
"Dacrycarpus_cumingii",7,12,0,0,2800
"Dacrycarpus_dacrydioides",170,154,1,5,775
"Dacrycarpus_expansus",8,8,0,0,1872
"Dacrycarpus_imbricatus",154,132,20,6,8255
"Dacrycarpus_kinabaluensis",3,13,0,0,895
"Dacrycarpus_vieillardii",42,42,1,0,1134
"Dacrydium_araucarioides",56,50,0,0,1392
"Dacrydium_balansae",56,56,0,0,1238
"Dacrydium_beccarii",22,29,1,0,2502
"Dacrydium_comosum",3,13,0,0,864
"Dacrydium_cupressinum",158,144,4,5,1358
"Dacrydium_elatum",29,31,7,4,22972
"Dacrydium_gibbsiae",6,12,0,0,138
"Dacrydium_gracile",4,13,0,0,77
"Dacrydium_guillauminii",9,16,0,0,5299
"Dacrydium_lycopodioides",18,21,0,0,9204
"Dacrydium_magnum",4,7,0,0,15024
"Dacrydium_nausoriense",3,4,1,0,4017
"Dacrydium_nidulum",33,30,5,0,10352
"Dacrydium_xanthandrum",15,14,1,0,2891
"Diselma_archeri",55,55,1,0,623
"Falcatifolium_falciforme",16,25,0,0,4067
"Falcatifolium_papuanum",17,21,0,0,349
"Falcatifolium_taxoides",26,28,0,0,1131
"Fitzroya_cupressoides",24,25,0,0,1316
"Fokienia_hodginsii",29,35,1,1,3492
"Glyptostrobus_pensilis",8,13,0,0,5829
"Halocarpus_bidwillii",58,60,3,1,511
"Halocarpus_biformis",166,164,4,0,397
"Halocarpus_kirkii",8,8,0,0,4100
"Hesperocyparis_abramsiana",10,16,0,0,1520
"Hesperocyparis_arizonica",91,75,7,0,16468
"Hesperocyparis_bakeri",17,17,0,0,4924
"Hesperocyparis_forbesii",52,58,4,0,4006
"Hesperocyparis_glabra",14,14,0,0,2364
"Hesperocyparis_goveniana",22,30,0,0,3336
"Hesperocyparis_guadalupensis",9,17,0,0,2802
"Hesperocyparis_lusitanica",118,100,14,13,8031
"Hesperocyparis_macnabiana",34,34,0,0,2299
"Hesperocyparis_macrocarpa",16,19,0,0,14205
"Hesperocyparis_montana",1,16,0,0,103
"Hesperocyparis_nevadensis",20,33,0,0,9063
"Hesperocyparis_sargentii",39,45,1,0,12499
"Hesperocyparis_stephensonii",15,17,0,0,22889
"Juniperus_angosturana",29,29,4,0,22551
"Juniperus_ashei",96,76,8,0,12611
"Juniperus_barbadensis",25,25,0,0,13180
"Juniperus_blancoi",10,23,0,0,1040
"Juniperus_californica",30,31,0,2,20619
"Juniperus_chinensis",29,30,4,0,61313
"Juniperus_coahuilensis",5,18,0,0,2423
"Juniperus_comitana",5,13,0,0,11017
"Juniperus_communis",365,347,42,59,19294
"Juniperus_convallium",26,34,0,0,1709
"Juniperus_deppeana",117,98,4,4,10307
"Juniperus_drupacea",23,35,0,0,15791
"Juniperus_durangensis",33,32,0,1,5337
"Juniperus_excelsa",108,104,9,7,29441
"Juniperus_flaccida",80,85,4,2,12769
"Juniperus_formosana",46,40,8,0,13789
"Juniperus_gamboana",9,14,0,0,456
"Juniperus_gracilior",6,13,0,0,4092
"Juniperus_horizontalis",123,82,29,12,45049
"Juniperus_indica",49,49,1,0,3437
"Juniperus_komarovii",7,18,0,0,11451
"Juniperus_monosperma",218,167,15,15,25060
"Juniperus_monticola",40,42,0,0,13231
"Juniperus_occidentalis",123,124,7,9,6078
"Juniperus_osteosperma",114,99,7,4,14873
"Juniperus_oxycedrus",206,171,24,1,41841
"Juniperus_phoenicea",174,166,11,1,30217
"Juniperus_pinchotii",80,82,4,1,3422
"Juniperus_pingii",21,34,0,0,2099
"Juniperus_polycarpos",41,50,1,2,15821
"Juniperus_procera",54,52,8,0,14198
"Juniperus_procumbens",3,17,0,0,1025
"Juniperus_przewalskii",17,17,0,0,1367
"Juniperus_pseudosabina",24,34,0,1,9603
"Juniperus_recurva",45,51,0,0,9971
"Juniperus_rigida",80,84,0,0,15251
"Juniperus_sabina",72,63,6,2,30213
"Juniperus_saltillensis",10,18,0,0,988
"Juniperus_saltuaria",68,77,4,1,14398
"Juniperus_saxicola",3,14,0,0,415
"Juniperus_scopulorum",108,73,27,0,35294
"Juniperus_semiglobosa",106,107,8,7,11749
"Juniperus_squamata",211,208,5,3,8403
"Juniperus_taxifolia",1,5,0,0,459
"Juniperus_thurifera",121,106,10,0,17350
"Juniperus_tibetica",149,148,1,0,5441
"Juniperus_virginiana",180,147,16,2,16580
"Keteleeria_davidiana",14,21,5,0,9219
"Keteleeria_evelyniana",18,26,0,0,5280
"Keteleeria_fortunei",10,12,1,0,2660
"Lagarostrobos_franklinii",32,28,2,0,1562
"Larix_decidua",142,129,2,2,15601
"Larix_gmelinii",14,16,0,1,54693
"Larix_griffithii",15,21,0,0,897
"Larix_kaempferi",16,18,0,0,1952
"Larix_laricina",194,129,35,13,50543
"Larix_occidentalis",47,50,0,2,15351
"Larix_potaninii",18,33,1,0,6770
"Lepidothamnus_fonkii",7,13,0,0,1036
"Lepidothamnus_intermedius",161,142,6,1,508
"Lepidothamnus_laxifolius",38,41,1,0,197
"Libocedrus_bidwillii",184,165,4,1,466
"Libocedrus_plumosa",9,15,0,0,218
"Libocedrus_yateensis",9,16,0,0,2485
"Manoao_colensoi",95,95,3,0,450
"Metasequoia_glyptostroboides",3,17,0,0,868
"Microbiota_decussata",8,17,0,0,8188
"Microcachrys_tetragona",33,36,0,0,387
"Nageia_fleuryi",15,22,2,0,17514
"Nageia_formosensis",4,13,0,0,8863
"Nageia_motleyi",6,12,0,0,10624
"Nageia_nagi",14,20,0,0,15657
"Nageia_wallichiana",69,66,7,5,25418
"Neocallitropsis_pancheri",29,35,0,0,3913
"Nothotsuga_longibracteata",7,13,0,0,4883
"Papuacedrus_papuana",80,80,4,0,1366
"Parasitaxus_usta",16,21,0,0,2302
"Pherosphaera_fitzgeraldii",60,57,0,1,3077
"Pherosphaera_hookeriana",90,83,2,0,679
"Phyllocladus_alpinus",108,107,5,0,427
"Phyllocladus_aspleniifolius",50,47,3,0,772
"Phyllocladus_hypophyllus",82,75,3,5,1071
"Phyllocladus_toatoa",64,70,0,0,527
"Phyllocladus_trichomanoides",78,71,0,1,805
"Picea_abies",245,217,9,2,11007
"Picea_alcoquiana",12,17,0,0,595
"Picea_asperata",26,35,0,0,12830
"Picea_brachytyla",17,17,1,0,24090
"Picea_breweriana",20,31,0,0,1378
"Picea_chihuahuana",18,18,0,0,6907
"Picea_crassifolia",10,17,0,0,11925
"Picea_engelmannii",51,61,1,1,9211
"Picea_farreri",3,17,0,0,364
"Picea_glauca",22,27,4,0,48074
"Picea_glehnii",18,34,0,0,9866
"Picea_jezoensis",42,47,3,0,10322
"Picea_koraiensis",9,18,0,1,7208
"Picea_koyamae",14,17,0,0,193
"Picea_likiangensis",30,36,0,0,3508
"Picea_mariana",13,14,2,0,53877
"Picea_martinezii",3,17,0,0,149
"Picea_maximowiczii",5,18,0,0,531
"Picea_mexicana",13,17,0,0,3027
"Picea_meyeri",14,17,0,0,32360
"Picea_morrisonicola",23,25,0,0,899
"Picea_neoveitchii",5,18,0,0,10045
"Picea_obovata",12,19,0,0,18730
"Picea_omorika",13,17,0,0,2359
"Picea_orientalis",12,18,0,0,24250
"Picea_pungens",42,46,2,0,4763
"Picea_purpurea",14,18,0,0,1197
"Picea_retroflexa",8,16,2,0,16655
"Picea_rubens",19,30,1,0,10450
"Picea_schrenkiana",12,18,0,0,45950
"Picea_sitchensis",71,60,3,0,5141
"Picea_smithiana",13,18,0,0,36172
"Picea_spinulosa",8,13,0,0,4428
"Picea_torano",9,18,0,0,372
"Picea_wilsonii",9,18,0,0,17560
"Pilgerodendron_uviferum",39,40,0,0,18073
"Pinus_albicaulis",41,48,1,2,7642
"Pinus_amamiana",2,12,0,0,543
"Pinus_aristata",22,32,0,0,2370
"Pinus_arizonica",100,91,6,1,13497
"Pinus_armandii",28,39,1,0,9638
"Pinus_attenuata",29,31,2,0,11595
"Pinus_ayacahuite",63,66,2,0,8908
"Pinus_balfouriana",13,17,0,0,9623
"Pinus_banksiana",102,71,16,0,54910
"Pinus_bhutanica",13,20,0,0,10006
"Pinus_brutia",14,17,0,0,28668
"Pinus_bungeana",6,18,0,0,9242
"Pinus_canariensis",7,18,0,0,1169
