sp,d.tpos,d.tneg,d.fpos,d.fneg,global.count,EA_0.25_cells
Chamaedorea_brachyclada,29,36,0,0,8479,11
Chamaedorea_brachypoda,1,14,0,0,2018,1
Chamaedorea_carchensis,5,14,0,0,2201,5
Chamaedorea_cataractarum,27,35,2,1,30768,17
Chamaedorea_christinae,3,13,0,0,819,3
Chamaedorea_correae,34,38,0,0,4473,9
Chamaedorea_costaricana,303,251,29,42,9333,105
Chamaedorea_crucensis,55,62,0,0,5175,11
Chamaedorea_dammeriana,154,126,6,6,4607,34
Chamaedorea_deckeriana,143,119,1,0,3157,43
Chamaedorea_deneversiana,45,45,2,2,6760,18
Chamaedorea_elatior,140,110,19,15,24621,57
Chamaedorea_elegans,287,174,35,7,23166,107
Chamaedorea_ernesti-augusti,240,161,34,20,7019,78
Chamaedorea_falcifera,1,14,0,0,73,1
Chamaedorea_foveata,2,13,0,0,7130,2
Chamaedorea_fractiflexa,1,13,0,0,440,1
Chamaedorea_fragrans,12,12,0,0,16373,10
Chamaedorea_frondosa,2,13,0,0,11589,2
Chamaedorea_geonomiformis,72,77,8,7,4770,35
Chamaedorea_glaucifolia,28,33,6,4,14538,15
Chamaedorea_graminifolia,37,30,7,0,27261,24
Chamaedorea_guntheriana,3,12,0,0,1828,2
Chamaedorea_hodelii,48,49,0,0,425,14
Chamaedorea_hooperiana,3,14,0,0,4354,2
Chamaedorea_ibarrae,8,13,0,0,1260,4
Chamaedorea_incrustata,9,14,0,0,902,4
Chamaedorea_keelerorum,1,13,0,0,2011,1
Chamaedorea_klotzschiana,18,26,1,1,25203,9
Chamaedorea_liebmannii,51,56,5,3,10435,27
Chamaedorea_linearis,403,285,26,38,11237,172
Chamaedorea_lucidifrons,63,60,1,0,4511,26
Chamaedorea_macrospadix,149,125,0,5,3965,41
Chamaedorea_matae,53,50,0,0,5205,11
Chamaedorea_metallica,24,22,2,0,43614,12
Chamaedorea_microphylla,3,14,0,0,2437,2
Chamaedorea_microspadix,26,45,0,0,4105,14
Chamaedorea_murriensis,3,13,0,0,612,2
Chamaedorea_neurochlamys,109,105,10,19,8036,48
Chamaedorea_nubium,75,76,2,2,14334,30
Chamaedorea_oblongata,134,113,10,13,10911,127
Chamaedorea_oreophila,28,34,4,0,1827,14
Chamaedorea_palmeriana,87,80,0,3,3274,22
Chamaedorea_parvifolia,36,38,0,0,6203,12
Chamaedorea_parvisecta,1,13,0,0,807,1
Chamaedorea_pauciflora,331,236,22,15,9190,171
Chamaedorea_pinnatifrons,524,320,100,50,11665,637
Chamaedorea_piscifolia,8,13,0,0,1560,3
Chamaedorea_pittieri,22,26,0,0,2397,7
Chamaedorea_plumosa,2,14,0,0,3409,1
Chamaedorea_pochutlensis,70,65,13,1,27607,35
Chamaedorea_ponderosa,5,13,0,0,6168,3
Chamaedorea_pumila,59,60,2,0,5645,28
Chamaedorea_pygmaea,45,47,3,1,3185,18
Chamaedorea_radicalis,55,67,2,2,11621,25
Chamaedorea_recurvata,4,14,0,0,1582,1
Chamaedorea_ricardoi,11,13,0,0,4371,7
Chamaedorea_robertii,43,52,0,0,3866,18
Chamaedorea_rojasiana,26,35,1,1,7786,14
Chamaedorea_rosibeliae,1,14,0,0,55,1
Chamaedorea_rossteniorum,25,25,0,0,9171,7
Chamaedorea_sartorii,31,39,0,2,6196,14
Chamaedorea_scheryi,76,69,2,0,3256,26
Chamaedorea_schiedeana,110,94,9,6,6250,34
Chamaedorea_schippii,10,14,0,0,7786,7
Chamaedorea_seifrizii,125,111,8,13,1798,89
Chamaedorea_serpens,12,13,0,0,454,3
Chamaedorea_simplex,9,12,0,0,18541,5
Chamaedorea_skutchii,1,14,0,0,40,1
Chamaedorea_smithii,1,14,0,0,215,1
Chamaedorea_stenocarpa,7,13,0,0,2802,5
Chamaedorea_stolonifera,7,13,1,0,11355,5
Chamaedorea_stricta,5,12,0,0,15708,3
Chamaedorea_subjectifolia,16,25,0,0,5050,6
Chamaedorea_tenerrima,1,13,0,0,700,1
Chamaedorea_tepejilote,340,279,23,55,11241,190
Chamaedorea_tuerckheimii,15,25,0,0,9518,8
Chamaedorea_undulatifolia,46,48,0,0,1133,13
Chamaedorea_verecunda,4,14,0,0,158,2
Chamaedorea_vulgata,2,12,0,0,1184,2
Chamaedorea_warscewiczii,102,81,7,0,7237,38
Chamaedorea_woodsoniana,60,64,7,6,5026,38
Chamaedorea_zamorae,52,48,1,0,6559,13
Chamaerops_humilis,1229,1045,18,14,17376,331
Chambeyronia_lepidota,8,8,0,0,1256,1
Chambeyronia_macrocarpa,22,28,0,0,2084,13
Chelyocarpus_chuco,12,14,0,0,13444,10
Chelyocarpus_dianeurus,32,36,0,0,4644,12
Chelyocarpus_repens,18,28,0,0,3121,9
Chelyocarpus_ulei,85,84,2,2,8851,41
Chuniophoenix_hainanensis,3,13,0,0,2889,3
Clinosperma_bracteale,21,21,0,0,2436,11
Clinosperma_lanuginosa,9,14,0,0,434,3
Clinosperma_macrocarpa,2,8,0,0,427,1
Clinosperma_vaginata,15,15,0,0,3714,5
Clinostigma_collegarum,3,7,0,0,334,1
Clinostigma_gronophyllum,1,8,0,0,19,1
Coccothrinax_argentata,15,26,0,0,7048,10
Coccothrinax_argentea,20,24,3,0,16321,15
Coccothrinax_barbadensis,14,10,4,0,41512,13
Coccothrinax_boschiana,1,13,0,0,128,1
Coccothrinax_ekmanii,1,12,0,0,70,2
Coccothrinax_jamaicensis,1,14,0,0,1869,1
Coccothrinax_miraguama,4,13,0,0,18002,5
Coccothrinax_readii,64,62,0,0,2016,23
Coccothrinax_rigida,1,13,0,0,7754,1
Coccothrinax_scoparia,3,14,0,0,3681,2
Coccothrinax_spissa,7,12,0,0,2160,5
Coccothrinax_yuraguana,3,12,0,0,1661,1
Cocos_nucifera,558,199,194,23,62649,438
Colpothrinax_aphanopetala,8,12,0,0,3013,5
Colpothrinax_cookii,20,26,0,0,1904,12
Copernicia_alba,91,91,10,15,3550,74
Copernicia_baileyana,3,14,0,0,5117,3
Copernicia_berteroana,6,14,0,0,11898,6
Copernicia_brittonorum,1,14,0,0,748,1
Copernicia_cowellii,4,13,0,0,4428,4
Copernicia_curbeloi,1,12,0,0,257,1
Copernicia_curtissii,7,13,0,0,5061,5
Copernicia_ekmanii,1,13,0,0,1402,1
Copernicia_gigas,1,13,0,0,149,1
Copernicia_glabrescens,6,13,0,0,8480,4
Copernicia_hospita,2,14,0,0,11003,2
Copernicia_prunifera,48,47,4,5,10775,38
Copernicia_rigida,1,13,0,0,3428,1
Copernicia_tectorum,18,22,3,1,16169,17
Copernicia_yarey,2,14,0,0,7963,2
Corypha_lecomtei,3,13,0,0,14380,2
Corypha_umbraculifera,4,13,0,0,20501,4
Corypha_utan,46,42,7,2,14162,28
Cryosophila_bartlettii,3,14,0,0,4258,1
Cryosophila_cookii,5,14,0,0,1378,2
Cryosophila_grayumii,26,26,0,0,13118,9
Cryosophila_guagara,31,37,2,0,2803,10
Cryosophila_kalbreyeri,30,35,3,0,18454,21
Cryosophila_macrocarpa,3,14,0,0,747,1
Cryosophila_nana,7,12,1,0,16063,5
Cryosophila_stauracantha,52,52,0,0,3866,69
Cryosophila_warscewiczii,109,100,1,4,4042,39
Cryosophila_williamsii,7,13,0,0,2615,3
Cyphokentia_cerifera,8,8,0,0,3764,4
Cyphokentia_macrostachya,12,14,0,0,2094,5
Cyphophoenix_alba,10,14,0,0,602,3
Cyphophoenix_elegans,8,8,0,0,12218,2
Cyphophoenix_fulcita,9,15,0,0,1008,4
Cyphosperma_balansae,8,14,0,0,1827,4
Cyrtostachys_bakeri,1,7,0,0,320,1
Cyrtostachys_elegans,1,8,0,0,628,1
Cyrtostachys_glauca,1,7,0,0,1472,1
Cyrtostachys_loriae,18,19,3,0,13697,16
Cyrtostachys_renda,11,13,0,0,9423,9
Daemonorops_acamptostachys,12,13,0,0,2416,8
Daemonorops_angustifolia,2,12,0,0,3634,2
Daemonorops_asteracantha,4,12,1,0,2723,4
Daemonorops_atra,18,21,3,0,4684,13
Daemonorops_banggiensis,1,13,0,0,304,1
Daemonorops_collarifera,19,24,0,0,2600,15
Daemonorops_cristata,18,25,0,0,3554,12
Daemonorops_depressiuscula,2,12,0,0,453,2
Daemonorops_didymophylla,58,53,6,0,9612,45
Daemonorops_draco,2,12,0,0,1738,2
Daemonorops_elongata,16,24,0,0,6710,12
Daemonorops_fissa,44,43,3,0,4732,37
Daemonorops_fissilis,1,12,0,0,2,1
Daemonorops_formicaria,17,25,0,0,3203,13
Daemonorops_geniculata,3,12,0,0,7673,3
Daemonorops_grandis,3,13,0,0,26233,3
Daemonorops_hirsuta,13,22,2,0,5148,12
Daemonorops_ingens,30,36,1,1,4235,23
Daemonorops_jenkinsiana,42,56,4,8,12495,43
Daemonorops_korthalsii,50,54,6,0,5403,35
Daemonorops_kunstleri,4,13,0,0,9718,4
Daemonorops_longipes,92,87,6,0,5384,53
Daemonorops_longispatha,12,23,1,1,3031,7
Daemonorops_longistipes,23,22,3,0,4731,17
Daemonorops_macrophylla,1,13,0,0,230,1
Daemonorops_macroptera,2,7,0,0,3555,1
Daemonorops_maculata,8,13,0,0,2536,7
Daemonorops_melanochaetes,2,12,0,0,294,2
Daemonorops_micracantha,10,11,1,0,5781,8
Daemonorops_microstachys,33,37,2,0,3709,25
Daemonorops_mirabilis,3,12,0,0,3153,2
Daemonorops_mollis,2,13,0,0,9650,2
Daemonorops_mollispina,1,12,0,0,916,1
Daemonorops_nuichuaensis,1,12,0,0,1085,1
Daemonorops_oblata,8,13,0,0,1012,6
Daemonorops_oblonga,1,13,0,0,5390,1
Daemonorops_oligophylla,1,13,0,0,525,1
Daemonorops_oxycarpa,15,24,1,0,3074,10
Daemonorops_periacantha,36,35,1,0,4244,25
Daemonorops_poilanei,4,13,0,0,6902,4
Daemonorops_pumila,1,13,0,0,381,1
Daemonorops_riedeliana,3,7,0,0,1132,3
Daemonorops_ruptilis,19,24,0,0,3118,15
Daemonorops_sabut,66,61,7,1,8793,50
Daemonorops_sarasinorum,3,7,0,0,6097,3
Daemonorops_scapigera,9,12,0,0,2582,8
Daemonorops_sepal,3,13,0,0,7637,3
Daemonorops_serpentina,3,12,0,0,1656,3
Daemonorops_sparsiflora,68,64,7,0,3822,46
Daemonorops_spectabilis,9,13,0,0,2242,4
Daemonorops_unijuga,2,13,0,0,1538,1
Daemonorops_urdanetana,1,13,0,0,252,1
Daemonorops_verticillaris,3,12,0,0,8039,3
Deckenia_nobilis,1,12,0,0,1994,2
Desmoncus_chinantlensis,182,129,25,8,5140,92
Desmoncus_cirrhiferus,30,33,4,0,11239,16
Desmoncus_costaricensis,8,13,0,0,8952,7
Desmoncus_giganteus,138,112,5,2,10260,64
Desmoncus_interjectus,3,13,0,0,2475,2
Desmoncus_kunarius,3,14,0,0,439,2
Desmoncus_loretanus,4,14,0,0,632,3
Desmoncus_madrensis,7,14,0,0,4209,5
Desmoncus_mitis,237,168,13,3,6807,150
Desmoncus_moorei,24,26,0,0,5243,17
Desmoncus_obovoideus,5,14,0,0,2438,2
Desmoncus_orthacanthos,211,160,25,23,16282,143
Desmoncus_osensis,5,13,0,0,3267,4
Desmoncus_phoenicocarpus,7,12,2,0,16813,7
Desmoncus_polyacanthos,396,241,45,32,17098,283
Desmoncus_stans,24,26,0,0,5836,5
Dictyocaryum_lamarckianum,67,68,1,5,2981,50
Dictyocaryum_ptarianum,19,26,1,0,7399,10
Dictyosperma_album,7,12,0,0,6655,9
Dransfieldia_micrantha,4,8,0,0,348,3
Drymophloeus_litigiosus,13,13,1,0,6306,12
Drymophloeus_oliviformis,9,14,0,1,25509,10
Dypsis_acaulis,3,12,0,0,5880,4
Dypsis_acuminum,6,12,0,0,11376,6
Dypsis_ambanjae,4,12,0,0,2172,3
Dypsis_ambilaensis,3,12,0,0,5393,4
Dypsis_ambositrae,11,12,0,0,1479,4
Dypsis_andapae,5,12,0,0,4197,4
Dypsis_andilamenensis,1,13,0,0,1376,1
Dypsis_andrianatonga,19,24,0,0,11516,6
Dypsis_angusta,9,13,0,0,15080,4
Dypsis_angustifolia,11,13,0,0,7257,4
Dypsis_ankaizinensis,1,13,0,0,950,1
Dypsis_ankirindro,2,12,0,0,1752,2
Dypsis_antanambensis,2,12,0,0,3502,1
Dypsis_aquatilis,3,12,0,0,4089,1
Dypsis_arenarum,3,12,0,0,10999,4
Dypsis_baronii,71,70,2,0,14081,31
Dypsis_basilonga,2,12,0,0,5011,1
Dypsis_beentjei,2,12,0,0,13168,2
Dypsis_bejofo,14,24,0,0,10428,7
Dypsis_bernieriana,7,12,0,0,2507,7
Dypsis_betamponensis,5,12,0,0,8007,1
Dypsis_betsimisarakae,1,12,0,0,2092,1
Dypsis_boiviniana,10,12,0,0,19503,9
Dypsis_bonsai,16,24,0,0,9384,10
Dypsis_bosseri,3,12,0,0,3566,2
Dypsis_brevicaulis,10,12,0,0,3297,5
Dypsis_brittiana,1,12,0,0,955,1
Dypsis_cabadae,1,12,0,0,216,2
Dypsis_canaliculata,5,12,0,0,14315,3
Dypsis_carlsmithii,1,12,0,0,3537,1
Dypsis_catatiana,83,83,1,0,12148,39
Dypsis_ceracea,14,24,0,0,5928,9
Dypsis_commersoniana,2,12,0,0,3934,1
Dypsis_concinna,50,57,3,0,9160,18
Dypsis_confusa,24,24,0,0,9562,15
Dypsis_cookei,2,12,0,0,28464,2
Dypsis_coriacea,16,26,0,0,6195,10
Dypsis_corniculata,12,12,0,0,11821,6
Dypsis_coursii,11,12,0,0,5033,6
Dypsis_crinita,21,24,0,0,6085,15
Dypsis_culminis,4,12,0,0,9162,3
Dypsis_curtisii,5,12,0,0,9493,5
Dypsis_decaryi,24,22,2,0,27643,15
Dypsis_decipiens,28,36,0,0,11948,17
Dypsis_delicatula,5,12,0,0,5871,1
Dypsis_digitata,3,12,0,0,17218,3
Dypsis_dracaenoides,5,12,0,0,8166,3
Dypsis_dransfieldii,1,12,0,0,1740,1
Dypsis_elegans,4,12,0,0,11792,3
Dypsis_eriostachys,5,13,0,0,3598,3
Dypsis_faneva,5,12,0,0,5662,5
Dypsis_fanjana,10,12,0,0,9706,6
Dypsis_fasciculata,15,24,0,0,5249,12
Dypsis_fibrosa,77,70,3,0,18417,42
Dypsis_forficifolia,49,60,0,0,4730,24
Dypsis_furcata,2,13,0,0,10910,3
Dypsis_gautieri,4,12,0,0,2266,1
Dypsis_glabrescens,7,12,0,0,5692,5
Dypsis_gronophyllum,4,12,0,0,6118,2
Dypsis_henrici,2,12,0,0,8559,1
Dypsis_heteromorpha,8,13,0,0,8108,5
Dypsis_heterophylla,53,59,1,0,8649,26
Dypsis_hiarakae,12,12,0,0,22924,10
Dypsis_hildebrandtii,76,83,0,0,3642,21
Dypsis_hovomantsina,10,12,0,0,3092,8
Dypsis_humbertii,14,24,0,0,8560,8
Dypsis_humilis,2,12,0,0,3405,2
Dypsis_ifanadianae,1,12,0,0,4428,1
Dypsis_integra,12,12,0,0,4303,9
Dypsis_intermedia,1,12,0,0,8843,1
Dypsis_interrupta,3,12,0,0,18042,2
Dypsis_jeremiei,1,12,0,0,1219,1
Dypsis_jumelleana,23,24,0,0,9123,9
Dypsis_laevis,1,12,0,0,1399,1
Dypsis_lanceolata,7,12,0,0,7781,5
Dypsis_lantzeana,15,24,0,0,9593,11
Dypsis_lanuginosa,3,12,0,0,2892,3
Dypsis_lastelliana,35,35,1,0,23046,22
Dypsis_leptocheilos,10,12,0,0,10672,6
Dypsis_ligulata,2,12,0,0,7236,1
Dypsis_linearis,33,34,2,0,13776,24
Dypsis_lokohoensis,15,24,0,0,16410,10
Dypsis_louvelii,20,24,0,0,5823,8
Dypsis_lutea,6,12,0,0,23294,5
Dypsis_lutescens,83,63,22,0,21224,78
Dypsis_madagascariensis,80,91,4,6,12430,47
Dypsis_mahia,2,13,0,0,4264,1
Dypsis_makirae,2,12,0,0,1597,1
Dypsis_malcomberi,8,12,0,0,7042,4
Dypsis_mananjarensis,25,35,1,0,8378,14
Dypsis_mangorensis,6,12,0,0,4264,5
Dypsis_marojejyi,10,12,0,0,16507,5
Dypsis_mcdonaldiana,4,12,0,0,13141,4
Dypsis_metallica,3,12,0,0,15413,2
Dypsis_minuta,9,12,0,0,4419,4
Dypsis_mirabilis,4,12,0,0,14917,3
Dypsis_mocquerysiana,20,24,0,0,7305,11
Dypsis_monostachya,1,12,0,0,4967,1
Dypsis_montana,6,12,0,0,4400,2
Dypsis_moorei,2,12,0,0,9725,2
Dypsis_nauseosa,6,12,0,0,12274,5
Dypsis_nodifera,141,126,6,2,8237,65
Dypsis_nossibensis,1,12,0,0,4172,1
Dypsis_occidentalis,9,12,0,0,25273,6
Dypsis_onilahensis,31,36,0,2,18618,26
Dypsis_oreophila,20,24,0,0,4976,11
Dypsis_oropedionis,4,12,0,0,11571,4
Dypsis_ovobontsira,3,12,0,0,5446,1
Dypsis_pachyramea,7,12,0,0,5667,5
Dypsis_paludosa,17,24,0,0,10677,11
Dypsis_pembana,3,12,0,0,8518,1
Dypsis_perrieri,25,36,0,0,10684,15
Dypsis_pervillei,2,12,0,0,7111,1
Dypsis_pilulifera,21,24,0,0,11042,14
Dypsis_pinnatifrons,99,102,6,0,8377,53
Dypsis_plurisecta,1,12,0,0,877,1
Dypsis_poivreana,12,12,0,0,14709,3
Dypsis_prestoniana,5,12,0,0,8050,3
Dypsis_procera,17,24,0,0,7854,11
Dypsis_procumbens,45,47,1,3,14202,28
Dypsis_psammophila,11,13,0,0,14688,7
Dypsis_pulchella,5,12,0,0,6853,5
Dypsis_pumila,6,12,0,0,1649,3
Dypsis_pusilla,8,12,0,0,6441,5
Dypsis_ramentacea,1,12,0,0,18683,1
Dypsis_reflexa,1,13,0,0,4,1
Dypsis_remotiflora,3,12,0,0,11280,3
Dypsis_rivularis,14,24,0,0,11787,6
Dypsis_sahanofensis,8,13,0,0,4139,6
Dypsis_saintelucei,10,12,0,0,14889,4
Dypsis_sanctaemariae,2,12,0,0,1180,1
Dypsis_scandens,3,13,0,0,1568,1
Dypsis_schatzii,8,12,0,0,13521,2
Dypsis_scottiana,47,48,0,0,5641,7
Dypsis_serpentina,9,12,0,0,13946,7
Dypsis_simianensis,8,12,0,0,4039,6
Dypsis_singularis,3,12,0,0,2073,1
Dypsis_soanieranae,3,12,0,0,22127,2
Dypsis_spicata,25,35,1,0,10247,12
Dypsis_tanalensis,1,12,0,0,3374,2
Dypsis_tenuissima,7,12,0,0,2855,5
Dypsis_thermarum,21,24,0,0,3292,4
Dypsis_thiryana,31,35,0,0,10901,20
Dypsis_tokoravina,7,13,0,0,17018,5
Dypsis_trapezoidea,5,12,0,0,2792,1
Dypsis_tsaratananensis,2,12,0,0,339,1
Dypsis_tsaravoasira,22,24,0,0,7383,14
Dypsis_turkii,7,12,0,0,3046,4
Dypsis_utilis,17,24,0,0,26665,9
Dypsis_viridis,15,24,0,0,5728,11
Dypsis_vonitrandambo,1,12,0,0,9,1
Elaeis_guineensis,1239,1114,24,182,2237,213
Elaeis_oleifera,135,117,15,13,17368,103
Eleiodoxa_conferta,5,11,1,0,6791,4
Eremospatha_barendii,1,12,0,0,8074,1
Eremospatha_cabrae,14,23,1,0,9227,12
Eremospatha_cuspidata,16,24,0,1,14601,12
Eremospatha_dransfieldii,6,12,0,0,20296,6
Eremospatha_haullevilleana,41,43,5,0,19492,26
Eremospatha_hookeri,29,35,1,0,9745,26
Eremospatha_laurentii,22,24,0,0,11852,20
Eremospatha_macrocarpa,111,101,17,0,15454,61
Eremospatha_quinquecostulata,8,12,0,0,23064,7
Eremospatha_tessmanniana,1,12,0,0,12594,1
Eremospatha_wendlandiana,26,34,2,1,18704,20
Eugeissona_tristis,1,12,0,0,17,1
Eugeissona_utilis,3,13,0,0,1184,2
Euterpe_broadwayi,3,14,0,0,1566,2
Euterpe_catinga,48,47,3,0,11788,68
Euterpe_edulis,172,142,11,15,9260,132
Euterpe_longibracteata,6,13,0,0,8954,6
Euterpe_luminosa,8,13,0,0,3649,4
Euterpe_oleracea,95,84,16,4,15681,94
Euterpe_precatoria,337,222,21,20,14237,442
Gaussia_attenuata,3,14,0,0,4222,2
Gaussia_gomez-pompae,5,14,0,0,16613,5
Gaussia_maya,38,40,1,0,6245,17
Geonoma_aspidiifolia,28,37,1,0,15257,18
Geonoma_baculifera,85,79,5,2,14359,70
Geonoma_braunii,1,13,0,0,6901,1
Geonoma_brenesii,14,25,0,0,5310,4
Geonoma_brongniartii,185,155,6,3,9258,163
Geonoma_calyptrogynoidea,27,38,0,0,8698,21
Geonoma_camana,186,150,6,2,6950,101
Geonoma_chlamydostachys,13,13,0,0,13023,5
Geonoma_chococola,33,37,0,0,8481,15
Geonoma_concinna,24,24,0,0,9290,11
Geonoma_concinnoidea,23,25,0,0,4203,9
Geonoma_congesta,246,173,11,12,9383,92
Geonoma_cuneata,518,294,48,24,11213,204
Geonoma_deneversii,2,13,0,0,3037,1
Geonoma_deversa,189,152,12,6,15039,475
Geonoma_dindoensis,1,13,0,0,3096,1
Geonoma_divisa,21,26,0,0,1864,10
Geonoma_elegans,221,156,21,4,12041,121
Geonoma_epetiolata,44,51,0,0,1753,10
Geonoma_euspatha,62,55,4,1,16877,41
Geonoma_ferruginea,184,142,5,7,4312,45
Geonoma_fosteri,5,14,0,0,653,2
Geonoma_frontinensis,9,13,0,0,1488,7
Geonoma_galeanoae,5,14,0,0,2215,3
Geonoma_hollinensis,1,13,0,0,309,1
Geonoma_hugonis,20,25,0,0,1709,7
Geonoma_interrupta,396,252,47,24,16637,248
Geonoma_lanata,13,13,1,0,8933,6
Geonoma_laxiflora,56,54,3,3,5793,42
Geonoma_lehmannii,68,72,0,2,2750,28
Geonoma_leptospadix,135,99,16,4,15452,84
Geonoma_longipedunculata,32,39,1,0,2893,25
Geonoma_longivaginata,8,13,0,0,3509,6
Geonoma_macrostachys,285,183,16,2,8927,355
Geonoma_maxima,229,164,12,10,12599,308
Geonoma_monospatha,16,26,0,0,8126,6
Geonoma_mooreana,24,27,0,0,7185,5
Geonoma_multisecta,25,26,0,0,4665,17
Geonoma_occidentalis,14,23,1,0,1892,11
Geonoma_oldemanii,8,14,0,0,5295,7
Geonoma_oligoclona,13,24,1,1,5765,12
Geonoma_orbignyana,420,287,12,46,5216,179
Geonoma_paradoxa,18,26,1,0,4939,11
Geonoma_pauciflora,87,78,4,4,6879,48
Geonoma_peruviana,1,14,0,0,271,1
Geonoma_pinnatifrons,181,135,27,20,15157,132
Geonoma_poeppigiana,139,106,11,3,3722,79
Geonoma_pohliana,121,101,12,8,9999,226
Geonoma_poiteauana,20,24,1,0,14309,18
Geonoma_sanmartinensis,4,14,0,0,1125,2
Geonoma_santanderensis,4,13,0,0,813,2
Geonoma_schizocarpa,8,13,0,0,2292,3
Geonoma_schottiana,297,192,28,5,7817,165
Geonoma_scoparia,28,27,0,0,1873,4
Geonoma_simplicifrons,8,11,1,0,27716,8
Geonoma_spinescens,2,14,0,0,843,2
Geonoma_stricta,311,238,13,19,8581,357
Geonoma_talamancana,9,13,0,0,1670,5
Geonoma_tenuissima,3,13,0,0,3094,2
Geonoma_triandra,24,26,0,0,7023,17
Geonoma_triglochin,51,59,1,3,8449,29
Geonoma_trigona,8,13,0,0,18071,6
Geonoma_umbraculiformis,7,13,0,0,8428,5
Geonoma_undata,233,185,9,25,4888,242
Geonoma_venosa,2,14,0,0,345,1
Guihaia_argyrata,7,13,0,0,11252,7
Hedyscepe_canterburyana,2,8,0,0,1075,2
Hemithrinax_compacta,1,14,0,0,547,1
Hemithrinax_ekmaniana,1,13,0,0,12,1
Heterospathe_annectens,1,8,0,0,3043,1
Heterospathe_compsoclada,2,8,0,0,546,1
Heterospathe_elegans,35,31,5,1,7754,20
Heterospathe_elmeri,1,13,0,0,167,1
Heterospathe_intermedia,1,13,0,0,4727,1
Heterospathe_lepidota,2,7,0,0,1502,2
Heterospathe_macgregorii,5,7,0,0,4414,4
Heterospathe_minor,2,8,0,0,375,3
Heterospathe_muelleriana,5,7,0,0,550,5
Heterospathe_obriensis,6,8,0,0,4202,5
Heterospathe_parviflora,1,7,0,0,950,1
Heterospathe_pulchra,1,7,0,0,410,1
Heterospathe_pullenii,1,7,0,0,677,1
Heterospathe_sibuyanensis,1,12,0,0,6,1
Heterospathe_sphaerocarpa,3,7,0,0,11654,2
Howea_belmoreana,5,7,0,0,913,5
Howea_forsteriana,25,21,1,1,14750,20
Hydriastele_beccariana,5,6,1,0,24521,4
Hydriastele_beguinii,6,8,0,0,4915,3
Hydriastele_biakensis,1,7,0,0,831,1
Hydriastele_brassii,3,7,0,0,6597,3
Hydriastele_cariosa,1,8,0,0,323,1
Hydriastele_chaunostachys,10,14,0,0,1757,7
Hydriastele_costata,34,34,2,1,10848,28
Hydriastele_dransfieldii,2,7,0,0,268,2
Hydriastele_flabellata,1,8,0,0,563,1
Hydriastele_gibbsiana,1,7,0,0,82,1
Hydriastele_hombronii,1,7,0,0,2564,1
Hydriastele_longispatha,6,7,0,0,1564,6
Hydriastele_manusii,2,8,0,0,3165,1
Hydriastele_micrantha,1,8,0,0,695,1
Hydriastele_microspadix,22,19,3,1,27157,18
Hydriastele_moluccana,2,7,0,0,2222,2
Hydriastele_pinangoides,30,19,12,0,46620,30
Hydriastele_ramsayi,28,27,1,0,2129,21
Hydriastele_rhopalocarpa,3,7,0,0,2907,3
Hydriastele_valida,2,7,0,0,684,1
Hydriastele_wendlandiana,120,100,13,6,22313,70
Hyophorbe_amaricaulis,1,13,0,0,4472,1
Hyophorbe_indica,1,12,0,0,396,1
Hyophorbe_lagenicaulis,5,12,0,0,36808,8
Hyophorbe_verschaffeltii,5,13,0,0,6743,7
Hyospathe_elegans,291,188,24,7,11276,364
Hyospathe_frontinensis,14,26,0,0,1586,5
Hyospathe_macrorhachis,13,14,0,0,3863,10
Hyospathe_peruviana,5,14,0,0,1197,2
Hyphaene_compressa,6,11,1,0,21818,6
Hyphaene_coriacea,47,43,5,1,32868,42
Hyphaene_guineensis,2,12,0,0,379,3
Hyphaene_petersiana,36,29,8,0,3092,33
Hyphaene_reptans,6,12,0,0,578,2
Hyphaene_thebaica,294,196,85,4,36611,57
Iguanura_bicornis,1,13,0,0,372,1
Iguanura_macrostachya,5,13,0,0,2131,5
Iguanura_melinauensis,1,12,0,0,441,1
Iguanura_polymorpha,11,13,0,0,8850,9
Iguanura_prolifera,1,13,0,0,659,1
Iguanura_wallichiana,11,21,1,1,9519,11
Iriartea_deltoidea,237,157,24,3,15967,282
Iriartella_setigera,183,152,14,5,10317,165
Iriartella_stenocarpa,123,113,5,1,5648,65
Itaya_amicorum,38,39,0,0,3188,18
Johannesteijsmannia_altifrons,1,12,0,0,1901,1
Jubaea_chilensis,14,18,0,0,13761,10
Jubaeopsis_caffra,5,12,0,0,1833,5
Kentiopsis_magnifica,6,7,0,0,3756,1
Kentiopsis_oliviformis,7,7,0,0,9233,4
Kentiopsis_piersoniorum,2,8,0,0,745,1
Kentiopsis_pyriformis,5,8,0,0,3409,3
Kerriodoxa_elegans,2,18,2,0,40313,2
Korthalsia_angustifolia,5,12,0,0,4884,3
Korthalsia_brassii,3,7,0,0,6570,3
Korthalsia_celebica,4,7,0,0,5890,3
Korthalsia_cheb,12,13,0,0,4082,9
Korthalsia_concolor,1,13,0,0,585,1
Korthalsia_debilis,2,12,0,0,2357,2
Korthalsia_echinometra,20,26,0,0,2570,13
Korthalsia_ferox,12,12,0,0,2819,7
Korthalsia_flagellaris,1,13,0,0,19,1
Korthalsia_furtadoana,19,25,0,0,3514,15
Korthalsia_hispida,12,12,0,0,3201,8
Korthalsia_jala,9,13,0,0,7995,6
Korthalsia_laciniosa,7,12,0,0,16945,7
Korthalsia_merrillii,1,13,0,0,903,1
