sp,d.tpos,d.tneg,d.fpos,d.fneg,global.count,EA_0.25_cells
Attalea_butyracea,97,94,4,6,11251,142
Attalea_cephalotus,8,14,0,1,11977,9
Attalea_cohune,48,58,2,12,6280,37
Attalea_colenda,35,38,2,1,12083,19
Attalea_compta,13,13,0,0,25734,7
Attalea_crassispatha,3,13,0,0,9548,2
Attalea_cuatrecasana,22,24,1,0,10998,11
Attalea_dahlgreniana,5,12,1,0,10128,5
Attalea_dubia,12,14,0,0,16035,10
Attalea_eichleri,48,53,4,1,10736,39
Attalea_exigua,11,12,0,0,15678,11
Attalea_funifera,34,36,0,0,3121,20
Attalea_geraensis,50,49,3,2,18882,39
Attalea_guacuyule,9,13,0,0,29415,7
Attalea_guianensis,4,13,0,0,8487,4
Attalea_humilis,34,40,1,0,8721,24
Attalea_iguadummat,7,13,0,0,4208,3
Attalea_insignis,119,98,7,2,12037,69
Attalea_luetzelburgii,17,27,0,0,6988,10
Attalea_magdalenica,1,12,0,0,5108,1
Attalea_maracaibensis,2,14,0,0,1500,2
Attalea_maripa,179,144,14,9,11841,130
Attalea_maripensis,1,12,0,0,858,1
Attalea_microcarpa,87,84,5,0,7630,55
Attalea_moorei,2,14,0,0,3010,2
Attalea_nucifera,16,24,1,0,13365,14
Attalea_oleifera,14,25,1,0,10494,13
Attalea_osmantha,1,13,0,0,86,1
Attalea_phalerata,154,124,7,6,4999,132
Attalea_pindobassu,18,25,2,0,11026,13
Attalea_plowmanii,40,40,0,0,3692,15
Attalea_princeps,9,13,0,0,16048,9
Attalea_racemosa,107,105,3,3,4796,50
Attalea_rostrata,62,63,8,4,13728,47
Attalea_salazarii,2,13,0,0,800,2
Attalea_seabrensis,13,24,0,0,1311,11
Attalea_speciosa,23,23,4,0,28334,19
Attalea_spectabilis,5,14,0,0,30375,5
Attalea_tessmannii,42,45,2,0,9601,20
Attalea_vitrivir,19,26,1,0,12350,13
Bactris_acanthocarpa,257,171,24,11,17607,180
Bactris_acanthocarpoides,30,35,2,0,15265,25
Bactris_ana-juliae,5,12,0,0,1621,2
Bactris_aubletiana,29,38,0,0,9127,17
Bactris_bahiensis,25,27,0,0,9093,21
Bactris_balanophora,45,47,1,1,10395,34
Bactris_barronis,55,48,2,0,9618,31
Bactris_bidentula,72,67,7,0,11077,49
Bactris_bifida,74,74,0,1,5111,57
Bactris_brongniartii,110,104,8,8,8761,100
Bactris_campestris,15,24,1,0,10385,11
Bactris_caryotifolia,29,36,0,0,12833,22
Bactris_caudata,19,25,0,0,15236,12
Bactris_charnleyae,7,13,0,0,6702,3
Bactris_chaveziae,53,58,2,0,9007,29
Bactris_coloniata,43,49,1,0,8689,18
Bactris_coloradonis,120,104,5,3,8063,53
Bactris_concinna,143,107,7,0,8428,104
Bactris_constanciae,11,14,0,0,14534,10
Bactris_corossilla,164,120,16,4,12267,107
Bactris_cubensis,1,13,0,0,10953,1
Bactris_cuspidata,12,14,0,0,15789,9
Bactris_dianeura,62,68,1,0,2447,19
Bactris_elegans,4,14,0,0,1610,4
Bactris_faucium,5,13,0,0,6953,3
Bactris_ferruginea,38,37,0,0,7212,28
Bactris_fissifrons,90,86,4,3,8190,56
Bactris_gasipaes,207,127,48,4,19255,156
Bactris_gastoniana,20,27,0,0,12466,14
Bactris_glandulosa,92,87,7,1,11252,36
Bactris_glassmanii,16,25,0,0,6485,14
Bactris_glaucescens,41,48,3,1,5412,32
Bactris_gracilior,75,76,1,0,5441,29
Bactris_grayumii,23,27,0,0,5407,13
Bactris_guineensis,79,76,9,11,9549,53
Bactris_halmoorei,42,39,0,0,7287,16
Bactris_hatschbachii,3,13,0,0,5010,3
Bactris_herrerana,16,26,0,0,6927,6
Bactris_hirta,292,207,24,4,12548,198
Bactris_horridispatha,7,13,0,0,31663,6
Bactris_killipii,118,103,4,2,3790,48
Bactris_kunorum,9,13,0,0,8977,4
Bactris_longiseta,4,13,0,0,13709,3
Bactris_macroacantha,145,131,16,0,5179,66
Bactris_major,255,171,48,27,21515,179
Bactris_maraja,304,217,22,7,14769,322
Bactris_martiana,11,13,0,0,11696,11
Bactris_mexicana,135,105,13,2,12954,76
Bactris_militaris,20,28,0,0,9019,10
Bactris_nancibaensis,1,13,0,0,460,1
Bactris_oligocarpa,37,46,2,0,12558,27
Bactris_oligoclada,28,27,0,0,11033,22
Bactris_panamensis,16,26,0,0,3812,7
Bactris_pickelii,39,36,0,0,4891,26
Bactris_pilosa,61,59,7,0,10381,33
Bactris_pliniana,5,12,0,0,9503,5
Bactris_plumeriana,7,13,0,0,5128,7
Bactris_polystachya,12,13,0,0,12194,7
Bactris_ptariana,15,23,2,0,17899,11
Bactris_rhaphidacantha,6,12,0,0,11070,5
Bactris_riparia,47,47,3,3,17412,39
Bactris_schultesii,137,117,4,2,3836,54
Bactris_setiflora,4,13,0,0,333,3
Bactris_setosa,109,103,6,5,8977,86
Bactris_setulosa,103,86,10,9,10256,74
Bactris_simplicifrons,292,194,23,6,11149,304
Bactris_soeiroana,1,14,0,0,1530,2
Bactris_sphaerocarpa,32,39,0,0,3657,17
Bactris_syagroides,6,13,0,0,10951,6
Bactris_tefensis,2,14,0,0,1107,2
Bactris_timbuiensis,10,13,0,0,5818,2
Bactris_tomentosa,24,24,2,0,9601,20
Bactris_turbinocarpa,1,14,0,0,55,1
Bactris_vulgaris,55,59,2,1,7468,39
Barcella_odora,13,13,0,0,9143,7
Basselinia_deplanchei,36,42,0,0,1473,11
Basselinia_eriostachys,5,7,0,0,4698,5
Basselinia_favieri,2,8,0,0,3013,1
Basselinia_glabrata,9,14,0,0,12487,4
Basselinia_gracilis,81,84,0,0,431,19
Basselinia_humboldtiana,5,7,0,0,581,4
Basselinia_iterata,4,8,0,0,13942,1
Basselinia_pancheri,74,77,0,0,2546,25
Basselinia_porphyrea,3,7,0,0,879,2
Basselinia_sordida,10,14,0,0,1551,5
Basselinia_tomentosa,5,7,0,0,5251,2
Basselinia_velutina,9,15,0,0,1039,4
Basselinia_vestita,5,7,0,0,4729,1
Beccariophoenix_alfredii,3,12,0,0,39209,2
Beccariophoenix_madagascariensis,30,36,0,0,8210,13
Bentinckia_nicobarica,3,13,0,0,3586,2
Bismarckia_nobilis,23,32,4,2,33760,23
Borassodendron_borneense,3,13,0,0,251,2
Borassodendron_machadonis,2,12,0,0,18152,2
Borassus_aethiopum,1273,933,104,17,20747,186
Borassus_akeassii,13,24,0,0,11941,7
Borassus_flabellifer,12,12,1,0,35110,10
Borassus_heineanus,7,8,0,0,1559,4
Borassus_madagascariensis,18,24,0,0,9273,13
Brahea_aculeata,67,57,10,1,11859,22
Brahea_armata,78,66,10,3,21175,37
Brahea_brandegeei,47,62,5,0,18936,18
Brahea_calcarea,111,84,29,7,21981,36
Brahea_decumbens,37,47,1,1,5853,11
Brahea_dulcis,354,274,37,112,6578,142
Brahea_edulis,6,17,0,0,7826,7
Brahea_moorei,57,57,4,0,5286,14
Brahea_pimo,71,67,3,4,3725,26
Brahea_salvadorensis,19,24,1,0,5183,8
Brahea_sarukhanii,27,26,0,0,2107,5
Brassiophoenix_drymophloeoides,15,20,1,0,5036,8
Brassiophoenix_schumannii,4,7,0,0,5003,5
Burretiokentia_dumasii,2,7,0,0,711,1
Burretiokentia_grandiflora,3,8,0,0,3983,1
Burretiokentia_hapala,5,7,0,0,3682,2
Burretiokentia_koghiensis,3,8,0,0,692,1
Burretiokentia_vieillardii,43,48,1,0,398,13
Butia_archeri,31,37,0,0,3718,18
Butia_campicola,13,14,0,0,16759,9
Butia_capitata,53,47,14,0,24677,46
Butia_catarinensis,9,14,0,0,10801,9
